Serial,Nest 2
Model,7370-2346
Date,5/11/2026 11:32:53 AM
Time,12.417
Description,Value,Result,Time,Details,Errors
Main,,P,12.417 s,,
Continuity Test,,P,2.262 s,,
K7 CORTO,,P,0.047 s,,
    value,12.3517408370972 v,,,,
F90 F91,,P,0.062 s,,
    value,0.0031621502712369 v,,,,
F22,,P,0.047 s,,
    value,13.0038089752197 v,,,,
F38,,P,0.047 s,,
    value,13.0028162002563 v,,,,
F34,,P,0.047 s,,
    value,13.0048027038574 v,,,,
F24,,P,0.047 s,,
    value,13.0049018859863 v,,,,
F20,,P,0.062 s,,
    value,13.0042066574097 v,,,,
F15,,P,0.047 s,,
    value,13.0035610198975 v,,,,
F35,,P,0.047 s,,
    value,13.0040578842163 v,,,,
F6,,P,0.046 s,,
    value,13.004753112793 v,,,,
F26 Depopulated,,P,0.047 s,,
    value,0.646290898323059 v,,,,
F23,,P,0.063 s,,
    value,13.0029153823853 v,,,,
F10,,P,0.046 s,,
    value,13.0049514770508 v,,,,
F2,,P,0.047 s,,
    value,13.0040082931519 v,,,,
F12,,P,0.047 s,,
    value,13.0046539306641 v,,,,
F14,,P,0.047 s,,
    value,13.004753112793 v,,,,
F4,,P,0.062 s,,
    value,13.0031633377075 v,,,,
F59,,P,0.047 s,,
    value,13.0017728805542 v,,,,
F21B,,P,0.047 s,,
    value,13.0053987503052 v,,,,
F52,,P,0.047 s,,
    value,13.0042066574097 v,,,,
F30,,P,0.046 s,,
    value,13.0049018859863 v,,,,
F46,,P,0.063 s,,
    value,13.0028657913208 v,,,,
F50,,P,0.047 s,,
    value,13.0042562484741 v,,,,
F60 Depopulated,,P,0.046 s,,
    value,0.649817228317261 v,,,,
F27,,P,0.047 s,,
    value,13.0047035217285 v,,,,
F104,,P,0.047 s,,
    value,13.0047035217285 v,,,,
F31,,P,0.062 s,,
    value,13.0049018859863 v,,,,
F39,,P,0.047 s,,
    value,13.005895614624 v,,,,
F11,,P,0.047 s,,
    value,13.0037097930908 v,,,,
F47 Depopulated,,P,0.047 s,,
    value,0.651009202003479 v,,,,
F32,,P,0.047 s,,
    value,13.0045547485352 v,,,,
F41,,P,0.062 s,,
    value,13.0048027038574 v,,,,
F71,,P,0.047 s,,
    value,13.0032634735107 v,,,,
F5,,P,0.047 s,,
    value,0.00559579813852906 v,,,,
F49,,P,0.046 s,,
    value,13.0061931610107 v,,,,
F16,,P,0.047 s,,
    value,13.0026178359985 v,,,,
F33,,P,0.063 s,,
    value,13.0045051574707 v,,,,
F48 Depopulated,,P,0.046 s,,
    value,0.652697861194611 v,,,,
F45 Depopulated,,P,0.047 s,,
    value,0.775423288345337 v,,,,
F18,,P,0.047 s,,
    value,13.0047035217285 v,,,,
F1,,P,0.062 s,,
    value,13.0038089752197 v,,,,
Voltage Drop and Relay ON OFF Time Test,,P,9.797 s,,
F98 Time Load On,,P,,,
K15 Time_on,,P,0.000 s,,
    Time,4.8267 ms,,,,
K15 Time_off,,P,,,
    Time,2.3360 ms,,,,
F98 Time Load Off,,P,,,
F98,,P,0.063 s,,
    value,0.0228796657174826 v,,,,
F97,,P,0.047 s,,
    value,0.02039635181427 v,,,,
F95,,P,0.062 s,,
    value,0.0267536379396915 v,,,,
F96,,P,0.047 s,,
    value,0.0220353398472071 v,,,,
K15 Off Test,,P,0.015 s,,
    Current,-0.003579632 ,,,,
F13,,P,0.047 s,,
    value,0.0148833943530917 v,,,,
K16 Off Test,,P,0.032 s,,
    Current,0.02741333 ,,,,
F85 Time Load On,,P,,,
K12 Time_on,,P,,,
    Time,9.9787 ms,,,,
K12 Time_off,,P,0.000 s,,
    Time,8.4133 ms,,,,
F85 Time Load Off,,P,0.000 s,,
F85,,P,0.047 s,,
    value,0.0178633723407984 v,,,,
F100,,P,0.047 s,,
    value,0.0198996886610985 v,,,,
F101,,P,0.047 s,,
    value,0.0172673761844635 v,,,,
F102,,P,0.047 s,,
    value,0.0159263871610165 v,,,,
F103,,P,0.062 s,,
    value,0.0196016915142536 v,,,,
K12 Off Test,,P,0.015 s,,
    Current,0.0393102 ,,,,
F13 Off K16 Off,,P,0.047 s,,
    value,7.35506391525269 v,,,,
measure K16,,P,0.015 s,,
    Current,0.3158535 ,,,,
F13 On K16 On,,P,0.063 s,,
    value,0.0149330608546734 v,,,,
CB1 Time Load On,,P,0.000 s,,
K6 Time_on,,P,,,
    Time,4.3707 ms,,,,
K6 Time_off,,P,,,
    Time,3.0907 ms,,,,
CB1 Time Load Off,,P,,,
CB1,,P,0.047 s,,
    value,0.0311242695897818 v,,,,
F66,,P,0.062 s,,
    value,0.0751782655715942 v,,,,
F65,,P,0.047 s,,
    value,0.0677283257246017 v,,,,
K6 Off Test,,P,0.016 s,,
    Current,-0.002448281 ,,,,
F90 F91,,P,0.047 s,,
    value,0.0492524653673172 v,,,,
F92,,P,0.047 s,,
    value,0.0698639750480652 v,,,,
K14 Off Test,,P,0.016 s,,
    Current,-0.002528309 ,,,,
F77,,P,0.047 s,,
    value,0.0702116414904594 v,,,,
F76,,P,0.047 s,,
    value,0.0717016309499741 v,,,,
F78A,,P,0.047 s,,
    value,0.0829262062907219 v,,,,
F75,,P,0.047 s,,
    value,0.0656423419713974 v,,,,
K8 Off Test,,P,0.016 s,,
    Current,-0.00268432 ,,,,
ConfPowerVbat1,,P,0.000 s,,
ConfPowerVbat2,,P,0.000 s,,
Gray Owl Channel On,,P,0.062 s,,
ConfPowerVbat3,,P,,,
K7 Off Test,,P,0.016 s,,
    Current,0.0207136 ,,,,
K4,,P,0.281 s,,
Gray Owl Channel On,,P,0.062 s,,
F7&JC_21,,P,0.046 s,,
    value,0.0535734333097935 v,,,,
F8 Cernicalo On,,P,,,
K4 Off Test,,P,0.015 s,,
    Current,0.0421615 ,,,,
Gray Owl Channel Off,,P,0.047 s,,
Gray Owl Channel Off,,P,0.062 s,,
F62 Time Load On,,P,0.000 s,,
K23 Time_on,,P,,,
    Time,1.9600 ms,,,,
K23 Time_off,,P,0.000 s,,
    Time,2.3680 ms,,,,
F62 Time Load Off,,P,0.000 s,,
F62,,P,0.047 s,,
    value,0.0645993500947952 v,,,,
K23 Off Test,,P,0.016 s,,
    Current,0.008071352 ,,,,
Gray Owl Channel On,,P,0.062 s,,
F58,,P,0.062 s,,
    value,0.0660396739840508 v,,,,
K22 Off Test,,P,0.016 s,,
    Current,0.00712306 ,,,,
Gray Owl Channel Off,,P,0.063 s,,
K29 ON GRayOwl,,P,0.047 s,,
F70,,P,0.046 s,,
    value,0.0541694276034832 v,,,,
K29 Off Test,,P,0.031 s,,
    Current,0.006502377 ,,,,
F9,,P,0.063 s,,
    value,0.0545170940458775 v,,,,
K9 Off Test,,P,0.015 s,,
    Current,0.006020185 ,,,,
K9 COil Off,,P,0.063 s,,
K29 GRayOwl Off,,P,0.062 s,,
Gray Owl Channel On,,P,0.047 s,,
F74,,P,0.062 s,,
    value,0.071453295648098 v,,,,
Gray Owl Channel Off,,P,0.047 s,,
K33 Off Test,,P,0.016 s,,
    Current,-0.005488948 ,,,,
Gray Owl Channel Off,,P,0.062 s,,
F64 Time Load On,,P,,,
K5 Time_on,,P,0.000 s,,
    Time,3.6027 ms,,,,
K5 Time_off,,P,,,
    Time,3.0053 ms,,,,
F64 Time Load Off,,P,,,
F64,,P,0.047 s,,
    value,0.0571990720927715 v,,,,
F56,,P,0.047 s,,
    value,0.0631590262055397 v,,,,
K5 Off Test,,P,0.016 s,,
    Current,0.01292664 ,,,,
K30NA Time Load On,,P,,,
K31 Time_on,,P,0.000 s,,
    Time,3.7440 ms,,,,
K31 Time_off,,P,0.000 s,,
    Time,3.4053 ms,,,,
K30 Time_on,,P,0.000 s,,
    Time,3.9707 ms,,,,
K30 Time_off,,P,,,
    Time,3.3893 ms,,,,
K30NA Time Load Off,,P,,,
F25,,P,0.063 s,,
    value,11.9667272567749 v,,,,
K30 K31 Wiper Hi VD Test,,P,0.062 s,,
    value,0.211760565638542 v,,,,
Wait,,P,0.031 s,,
K30 K31 Off Test,,P,0.016 s,,
    Current,-0.003502478 ,,,,
Wait1,,P,0.031 s,,
K30 K31 Off Test,,P,0.016 s,,
    Current,-0.002560166 ,,,,
F68,,P,0.062 s,,
    value,0.0555104166269302 v,,,,
K27 Off Test,,P,0.016 s,,
    Current,-0.00325376 ,,,,
F36 Time Load On,,P,0.000 s,,
K10 Time_on,,P,,,
    Time,4.2773 ms,,,,
K10 Time_off,,P,0.000 s,,
    Time,3.0373 ms,,,,
F36 Time Load Off,,P,0.000 s,,
F36,,P,0.046 s,,
    value,0.0747312679886818 v,,,,
K10 Off Test,,P,0.015 s,,
    Current,-0.002814923 ,,,,
F54 Time Load On,,P,0.000 s,,
K18 Time_on,,P,,,
    Time,2.1840 ms,,,,
K18 Time_off,,P,0.000 s,,
    Time,1.9200 ms,,,,
F54 Time Load Off,,P,0.000 s,,
K18 ON,,P,0.000 s,,
K18 On Test,,P,0.031 s,,
    Current,-0.003307933 ,,,,
F54,,P,0.063 s,,
    value,0.0840188711881638 v,,,,
K18 Off Test,,P,0.016 s,,
    Current,0.9968408 ,,,,
K18 OFF,,P,0.000 s,,
Dlay K20 On,,P,0.047 s,,
F43,,P,0.047 s,,
    value,12.9373064041138 v,,,,
F17,,P,0.047 s,,
    value,0.10294172167778 v,,,,
K20 Off Test,,P,0.016 s,,
    Current,-0.004130795 ,,,,
F43,,P,0.062 s,,
    value,0.648426592350006 v,,,,
F17,,P,0.047 s,,
    value,12.3439435958862 v,,,,
CONFIG COIL K3,,P,0.062 s,,
F55,,P,0.047 s,,
    value,12.9503183364868 v,,,,
K3 Off Test,,P,0.016 s,,
    Current,-0.002754678 ,,,,
Config Coil off,,P,0.062 s,,
K32-K34,,P,0.343 s,,
F73,,P,0.062 s,,
    value,0.0801945626735687 v,,,,
K34 Off Test,,P,0.031 s,,
    Current,0.002781878 ,,,,
F73,,P,0.063 s,,
    value,0.0662880018353462 v,,,,
K32 Coil GND Off,,P,0.062 s,,
k21NA Time Load On,,P,,,
K21 Time_on,,P,,,
    Time,2.7413 ms,,,,
K21 Time_off,,P,0.000 s,,
    Time,2.1573 ms,,,,
k21NA Time Load Off,,P,0.000 s,,
K21_NA,,P,0.047 s,,
    value,0.00872477423399687 v,,,,
K21 Off Test,,P,0.016 s,,
    Current,-0.002479943 ,,,,
K13 Coil GND Off,,P,0.062 s,,
K13 Time_on,,P,,,
    Time,9.3227 ms,,,,
K13 Time_off,,P,0.000 s,,
    Time,5.5920 ms,,,,
F37,,P,0.063 s,,
    value,0.0664866641163826 v,,,,
F93,,P,0.047 s,,
    value,0.0748802721500397 v,,,,
K13 Off Test,,P,0.032 s,,
    Current,-0.002540091 ,,,,
K13 Coil GND Off1,,P,0.062 s,,
F42 Time Load On,,P,0.000 s,,
K19 Time_on,,P,0.000 s,,
    Time,2.7173 ms,,,,
K19 Time_off,,P,,,
    Time,2.1840 ms,,,,
F42 Time Load Off,,P,,,
F42,,P,0.047 s,,
    value,0.0765192583203316 v,,,,
K19 Off Test,,P,0.016 s,,
    Current,-0.002898987 ,,,,
F19A,,P,0.062 s,,
    value,0.0907734856009483 v,,,,
K24 GrayOwl1 Off,,P,0.047 s,,
F19A,,P,0.047 s,,
    value,12.3525352478027 v,,,,
Diode Test,,P,0.343 s,,
D1 FV Test,,P,0.063 s,,
    value,0.86594820022583 v,,,,
D1 Wiper Hi VD Test,,P,0.062 s,,
    value,0.0461564734578133 v,,,,
D2 FV Test,,P,0.047 s,,
    value,0.0645330026745796 v,,,,
D2 Wiper Hi VD Test,,P,0.062 s,,
    value,0.8513463139534 v,,,,
D1 RV Test,,P,0.047 s,,
    value,12.2542457580566 v,,,,
D2 RV Test,,P,0.062 s,,
    value,12.2176418304443 v,,,,
