Serie,000000000
Modelo,7370-2379
Fecha,5/4/2026 7:10:26 AM
Tiempo,5.678
Descripción,Valor,Resultado,Tiempo,Detalles,Errores
Main,,P,5.678 s,,
Conecta Gnd,,P,,,
Apaga Relay  2 Gray Owl,,P,,,
Apaga Relay 3 Gray Owl,,P,,,
Continuity Test,,P,1.529 s,,
PF1,,P,0.046 s,,
    value,13.0237522125244 v,,,,
PF2,,P,0.032 s,,
    value,13.0259389877319 v,,,,
PF3,,P,0.031 s,,
    value,13.0228576660156 v,,,,
PF4,,P,0.031 s,,
    value,13.0268335342407 v,,,,
PF5,,P,0.031 s,,
    value,13.0261878967285 v,,,,
Checa PF6,,P,0.141 s,,
Voltaje PF7 On,,P,0.063 s,,
PF6,,P,0.031 s,,
    value,12.9935855865479 v,,,,
Voltaje PF7 Off,,P,0.047 s,,
Checa PF7,,P,0.140 s,,
Voltaje PF8 On,,P,0.046 s,,
PF7,,P,0.032 s,,
    value,12.9935359954834 v,,,,
Voltaje PF8 Off,,P,0.062 s,,
Checa PF8,,P,0.125 s,,
Voltaje PF6 On,,P,0.047 s,,
PF8,,P,0.031 s,,
    value,12.9911508560181 v,,,,
Voltaje PF6 Off,,P,0.047 s,,
Voltaje Alterno On,,P,0.156 s,,
Voltaje PF6 On,,P,0.062 s,,
Voltaje PF7 On,,P,0.047 s,,
Voltaje PF8 On,,P,0.047 s,,
F12,,P,0.031 s,,
    value,12.9899082183838 v,,,,
F13,,P,0.031 s,,
    value,12.9889144897461 v,,,,
F62,,P,0.047 s,,
    value,13.0449237823486 v,,,,
F52,,P,0.031 s,,
    value,12.9905548095703 v,,,,
F19,,P,0.031 s,,
    value,12.9899578094482 v,,,,
J51 Voltage On,,P,0.032 s,,
J51 Voltage Off,,P,0.031 s,,
F46,,P,0.031 s,,
    value,12.9913988113403 v,,,,
F50,,P,0.031 s,,
    value,12.990852355957 v,,,,
F06,,P,0.031 s,,
    value,12.9904546737671 v,,,,
F11,,P,0.032 s,,
    value,12.991250038147 v,,,,
F64,,P,0.046 s,,
    value,12.9864292144775 v,,,,
F44,,P,0.032 s,,
    value,12.9902563095093 v,,,,
F40,,P,0.031 s,,
    value,12.9900074005127 v,,,,
F08,,P,0.031 s,,
    value,12.9916477203369 v,,,,
F10,,P,0.031 s,,
    value,12.9894609451294 v,,,,
F28,,P,0.031 s,,
    value,12.9901065826416 v,,,,
F38,,P,0.032 s,,
    value,13.036226272583 v,,,,
F07,,P,0.031 s,,
    value,12.9900074005127 v,,,,
F20,,P,0.047 s,,
    value,12.9878702163696 v,,,,
Voltage Drop and Relay ON OFF,,P,3.588 s,,
F25,,P,0.032 s,,
    value,0.0386711619794369 v,,,,
F25 Output On,,P,0.000 s,,
K8 On Test Current,,P,0.031 s,,
    Current,3.837891 ,,,,
F25,,P,0.031 s,,
    value,12.3940839767456 v,,,,
K8 Off Test,,P,0.031 s,,
    Current,0.3520947 ,,,,
F30,,P,0.062 s,,
    value,1.01070606708527 v,,,,
F30 Output On,,P,0.016 s,,
K7 On Test Current,,P,0.016 s,,
    Current,3.837503 ,,,,
F30,,P,0.047 s,,
    value,12.3963203430176 v,,,,
K7 Off Test,,P,0.016 s,,
    Current,0.3509934 ,,,,
F27,,P,0.032 s,,
    value,1.12555706501007 v,,,,
F27 Output On,,P,0.000 s,,
K10 On Test Current,,P,0.031 s,,
    Current,3.901757 ,,,,
F32,,P,0.031 s,,
    value,1.0328711271286 v,,,,
F37,,P,0.031 s,,
    value,1.07412016391754 v,,,,
F27 Voltage Off,,P,0.047 s,,
    value,12.3915996551514 v,,,,
K10 Off Test,,P,0.015 s,,
    Current,0.3511911 ,,,,
F32 Voltage Off,,P,0.047 s,,
    value,12.4010419845581 v,,,,
F37 Voltage Off,,P,0.031 s,,
    value,12.3875732421875 v,,,,
F33 Output,,P,0.063 s,,
    value,0.249786451458931 v,,,,
F33 Output On,,P,0.000 s,,
K12 On Test Current,,P,0.031 s,,
    Current,3.906153 ,,,,
K12 Output Off,,P,0.031 s,,
    value,12.3834981918335 v,,,,
K12 Off Test,,P,0.031 s,,
    Current,0.3509671 ,,,,
F67 Output,,P,0.063 s,,
    value,0.40374955534935 v,,,,
F16 Output,,P,0.031 s,,
    value,0.391871809959412 v,,,,
F67 Output On,,P,0.000 s,,
K22 On Test Current,,P,0.031 s,,
    Current,3.839035 ,,,,
K22 Output Off,,P,0.031 s,,
    value,12.3832998275757 v,,,,
K22 Off Test,,P,0.032 s,,
    Current,0.3522362 ,,,,
K9 ON,,P,0.015 s,,
F26 Voltage On,,P,0.031 s,,
    value,1.31142604351044 v,,,,
F26 Output On,,P,0.000 s,,
K9 On Test Current,,P,0.032 s,,
    Current,3.900498 ,,,,
F36 Voltage On,,P,0.031 s,,
    value,1.11293387413025 v,,,,
F31 Voltage On,,P,0.031 s,,
    value,1.02427351474762 v,,,,
F26,,P,0.031 s,,
    value,12.9731101989746 v,,,,
F36,,P,0.047 s,,
    value,12.9710731506348 v,,,,
F31,,P,0.031 s,,
    value,12.9676933288574 v,,,,
K9 Off Test,,P,0.016 s,,
    Current,0.3513462 ,,,,
K1 Output,,P,0.031 s,,
    value,1.03227472305298 v,,,,
K1 Output On,,P,,,
K1 On Test Current,,P,0.031 s,,
    Current,3.987511 ,,,,
K1 Output Off,,P,0.031 s,,
    value,12.3923444747925 v,,,,
K1 Off Test,,P,0.031 s,,
    Current,0.3517713 ,,,,
K19 Output,,P,0.047 s,,
    value,1.02775228023529 v,,,,
K19 Output On,,P,0.000 s,,
K19 On Test Current,,P,0.016 s,,
    Current,3.900126 ,,,,
K19 Output Off,,P,0.031 s,,
    value,12.3072624206543 v,,,,
K19 Off Test,,P,0.016 s,,
    Current,0.3504518 ,,,,
F4,,P,0.032 s,,
    value,1.0621429681778 v,,,,
F24,,P,0.031 s,,
    value,1.06363391876221 v,,,,
F4 Output On,,P,0.000 s,,
K6 On Test Current,,P,0.031 s,,
    Current,3.906322 ,,,,
F04,,P,0.031 s,,
    value,12.3891639709473 v,,,,
F24,,P,0.031 s,,
    value,12.4205732345581 v,,,,
K6 Off Test,,P,0.031 s,,
    Current,0.3508619 ,,,,
F61,,P,0.031 s,,
    value,0.991771221160889 v,,,,
F61 Output On,,P,0.000 s,,
K16 On Test Current,,P,0.031 s,,
    Current,3.838397 ,,,,
F61,,P,0.031 s,,
    value,12.3917980194092 v,,,,
K16 Off Test,,P,0.032 s,,
    Current,0.3508741 ,,,,
F47,,P,0.062 s,,
    value,0.996144652366638 v,,,,
F47 Output On,,P,0.000 s,,
K14 On Test Current,,P,0.031 s,,
    Current,3.836838 ,,,,
F47,,P,0.031 s,,
    value,12.3970165252686 v,,,,
K14 Off Test,,P,0.031 s,,
    Current,0.3507593 ,,,,
F66,,P,0.047 s,,
    value,0.995051264762878 v,,,,
F66 Output On,,P,,,
K18 On Test Current,,P,0.016 s,,
    Current,3.838105 ,,,,
F66,,P,0.031 s,,
    value,12.3951778411865 v,,,,
K18 Off Test,,P,0.016 s,,
    Current,0.3493039 ,,,,
F65,,P,0.031 s,,
    value,1.19011425971985 v,,,,
F65 Output On,,P,,,
K24 On Test Current,,P,0.031 s,,
    Current,3.899951 ,,,,
F66,,P,0.031 s,,
    value,12.3959722518921 v,,,,
K24 Off Test,,P,0.031 s,,
    Current,0.3505495 ,,,,
F17,,P,0.031 s,,
    value,0.9716437458992 v,,,,
F17 Output On,,P,0.000 s,,
K23 On Test Current,,P,0.032 s,,
    Current,3.835426 ,,,,
F17,,P,0.047 s,,
    value,12.3946800231934 v,,,,
K23 Off Test,,P,0.016 s,,
    Current,0.3496332 ,,,,
F20 K5,,P,0.032 s,,
    value,1.22251713275909 v,,,,
F20 K5 Output On,,P,0.000 s,,
K5 On Test Current,,P,0.031 s,,
    Current,3.897621 ,,,,
F20 K5,,P,0.031 s,,
    value,12.3936367034912 v,,,,
K5 Off Test,,P,0.031 s,,
    Current,0.349047 ,,,,
F22,,P,0.031 s,,
    value,1.20586836338043 v,,,,
F22 Output On,,P,,,
K2 On Test Current,,P,0.031 s,,
    Current,3.904146 ,,,,
F22,,P,0.031 s,,
    value,12.3930406570435 v,,,,
K2 Off Test,,P,0.016 s,,
    Current,0.3504099 ,,,,
Diodos,,P,0.405 s,,
Conecta Vbat a Gnd,,P,0.218 s,,
Prende Relay  2 Gray Owl,,P,0.015 s,,
Prende Relay 3 Gray Owl,,P,0.203 s,,
Prueba D1,,P,0.031 s,,
D1 Output On,,P,,,
Measure D1,,P,0.031 s,,
    value,0.628929257392883 v,,,,
D1 Output Off,,P,,,
Prueba D2,,P,0.032 s,,
D2 Output On,,P,,,
Measure D2,,P,0.032 s,,
    value,12.1933059692383 v,,,,
D2 Output Off,,P,,,
Conecta Gnd,,P,0.015 s,,
Apaga Relay  2 Gray Owl,,P,0.015 s,,
Apaga Relay 3 Gray Owl,,P,,,
Voltaje Alterno Apagado,,P,0.141 s,,
Voltaje PF6 Off,,P,0.047 s,,
Voltaje PF7 Off,,P,0.047 s,,
Voltaje PF8 Off,,P,0.047 s,,
